[2026-01-21T02:35:55.458806+00:00] agent started NMS_BASE=http://192.168.137.3:8000 poll=5s limit=10
[2026-01-21T02:35:55.459215+00:00] scanner_name.txt missing/empty; will attempt registration
[2026-01-21T03:00:42.919009+00:00] still unassigned; retry in 10s
[2026-01-21T03:00:59.210044+00:00] still unassigned; retry in 10s
[2026-01-21T03:01:15.496260+00:00] still unassigned; retry in 10s
[2026-01-21T03:01:31.781517+00:00] still unassigned; retry in 10s
[2026-01-21T03:01:48.068779+00:00] still unassigned; retry in 10s
[2026-01-21T03:02:04.354973+00:00] still unassigned; retry in 10s
[2026-01-21T03:02:20.644087+00:00] still unassigned; retry in 10s
[2026-01-21T03:02:36.932688+00:00] still unassigned; retry in 10s
[2026-01-21T03:02:53.222660+00:00] still unassigned; retry in 10s
[2026-01-21T03:03:09.512032+00:00] still unassigned; retry in 10s
[2026-01-21T03:03:25.802100+00:00] still unassigned; retry in 10s
[2026-01-21T03:03:42.090802+00:00] still unassigned; retry in 10s
[2026-01-21T03:03:58.377463+00:00] still unassigned; retry in 10s
[2026-01-21T03:04:14.662858+00:00] still unassigned; retry in 10s
[2026-01-21T03:04:30.950310+00:00] still unassigned; retry in 10s
[2026-01-21T03:04:47.235729+00:00] still unassigned; retry in 10s
[2026-01-21T03:05:03.521525+00:00] still unassigned; retry in 10s
[2026-01-21T03:05:19.807754+00:00] still unassigned; retry in 10s
[2026-01-21T03:05:36.095373+00:00] still unassigned; retry in 10s
[2026-01-21T03:05:52.379888+00:00] still unassigned; retry in 10s
[2026-01-21T03:06:08.667356+00:00] still unassigned; retry in 10s
[2026-01-21T03:06:24.953959+00:00] still unassigned; retry in 10s
[2026-01-21T03:06:41.239266+00:00] still unassigned; retry in 10s
[2026-01-21T03:06:57.525109+00:00] still unassigned; retry in 10s
[2026-01-21T03:07:13.808909+00:00] still unassigned; retry in 10s
[2026-01-21T03:07:30.098834+00:00] still unassigned; retry in 10s
[2026-01-21T03:07:46.388895+00:00] still unassigned; retry in 10s
[2026-01-21T03:08:02.674432+00:00] still unassigned; retry in 10s
[2026-01-21T03:08:18.962720+00:00] still unassigned; retry in 10s
[2026-01-21T03:08:35.236537+00:00] still unassigned; retry in 10s
[2026-01-21T03:08:51.521940+00:00] still unassigned; retry in 10s
[2026-01-21T03:09:07.807941+00:00] still unassigned; retry in 10s
[2026-01-21T03:09:24.093288+00:00] still unassigned; retry in 10s
[2026-01-21T03:09:40.382744+00:00] still unassigned; retry in 10s
[2026-01-21T03:09:56.671192+00:00] still unassigned; retry in 10s
[2026-01-21T03:10:12.957155+00:00] still unassigned; retry in 10s
[2026-01-21T03:10:29.243308+00:00] still unassigned; retry in 10s
[2026-01-21T03:10:45.534881+00:00] still unassigned; retry in 10s
